County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,log_price,SaleYear,SaleMonth,Region,YearMonth,SaleMonthIndex,Region_Encoded
Donegal,147000.0,0,0,0,11.898194668458824,2016,5,Donegal,201605,5,11.375411297981437
Dublin,233480.18,0,1,1,12.360856753271037,2016,8,DUBLIN16,201608,8,12.69024601766621
Cork,125000.0,0,0,0,11.736077016252436,2016,4,Cork,201604,4,12.000150643676768
Wexford,55000.0,0,0,0,10.915106645867503,2016,5,Wexford,201605,5,11.66416800178687
Cork,140000.0,0,0,0,11.849404844423074,2016,1,Cork,201601,1,12.000150643676768
Dublin,89207.0,0,0,0,11.398726000645198,2016,8,DUBLIN11,201608,8,12.092453474754603
Wexford,400000.0,0,0,0,12.899222326086994,2016,11,Wexford,201611,11,11.66416800178687
Dublin,535000.0,0,0,0,13.190023895035274,2016,9,DUBLIN_OTHER,201609,9,12.705570117352767
Dublin,414096.91,0,1,1,12.933857722430847,2016,5,DUBLIN16,201605,5,12.69024601766621
Westmeath,112500.0,0,0,0,11.630717389475995,2016,10,Westmeath,201610,10,11.548741171685151
Clare,165000.0,0,0,0,12.013706813470414,2016,8,Clare,201608,8,11.657350873570417
Tipperary,50000.0,0,0,0,10.819798284210286,2016,9,Tipperary,201609,9,11.563686685039686
Dublin,273000.0,0,0,0,12.51723073716405,2016,7,DUBLIN_OTHER,201607,7,12.705570117352767
Mayo,10000.0,0,0,0,9.210440366976515,2016,12,Mayo,201612,12,11.290023168381925
Cork,195000.0,0,0,0,12.180759965737863,2016,9,Cork,201609,9,12.000150643676768
Cork,385000.0,0,0,0,12.861001210669146,2016,5,Cork,201605,5,12.000150643676768
Cork,188500.0,0,0,0,12.14685859089592,2016,2,Cork,201602,2,12.000150643676768
Cork,195000.0,0,0,0,12.180759965737863,2016,5,Cork,201605,5,12.000150643676768
Tipperary,22300.0,0,0,0,10.012386799492118,2016,8,Tipperary,201608,8,11.563686685039686
Dublin,235000.0,0,0,0,12.367345048436391,2016,10,DUBLIN24,201610,10,12.337910652379716
Clare,48750.0,0,0,0,10.79448098903612,2016,5,Clare,201605,5,11.657350873570417
Wexford,285000.0,0,0,0,12.560247968016562,2016,12,Wexford,201612,12,11.66416800178687
Kerry,85000.0,0,0,0,11.350418300109132,2016,1,Kerry,201601,1,11.703319087828566
Wexford,87500.0,1,0,0,11.37940550085183,2016,10,Wexford,201610,10,11.66416800178687
Cavan,50000.0,0,0,0,10.819798284210286,2016,12,Cavan,201612,12,11.260762509440198
Sligo,130000.0,0,0,0,11.775297421715829,2016,2,Sligo,201602,2,11.28796474804477
Dublin,740000.0,0,0,0,13.51440681653079,2016,11,DUBLIN_OTHER,201611,11,12.705570117352767
Laois,51000.0,0,0,0,10.839600519357369,2016,12,Laois,201612,12,11.602198135075064
Laois,150000.0,0,0,0,11.918397239722838,2016,4,Laois,201604,4,11.602198135075064
Kilkenny,152000.0,0,0,0,11.93164237875414,2016,12,Kilkenny,201612,12,11.886321369253947
Dublin,367500.0,0,0,0,12.814481318719762,2016,7,DUBLIN24,201607,7,12.337910652379716
Clare,152000.0,0,0,0,11.93164237875414,2016,4,Clare,201604,4,11.657350873570417
Donegal,113000.0,0,0,0,11.635151947212842,2016,11,Donegal,201611,11,11.375411297981437
Offaly,128000.0,0,0,0,11.759793355371237,2016,5,Offaly,201605,5,11.574728803059095
Tipperary,50000.0,0,0,0,10.819798284210286,2016,9,Tipperary,201609,9,11.563686685039686
Galway,98268.74,0,1,1,11.49547142558112,2016,5,Galway,201605,5,11.821055771589778
Dublin,320000.0,0,0,0,12.676079399771028,2016,1,DUBLIN7,201601,1,12.490396830588164
Donegal,91000.0,0,0,0,11.418625774449598,2016,10,Donegal,201610,10,11.375411297981437
Leitrim,25000.0,0,0,1,10.12667110305036,2016,8,Leitrim,201608,8,11.056810921982729
Tipperary,101321.58,0,1,1,11.526064567668238,2016,8,Tipperary,201608,8,11.563686685039686
Laois,80000.0,0,1,1,11.289794413577894,2016,12,Laois,201612,12,11.602198135075064
Cork,180000.0,0,1,1,12.100717685412471,2016,10,Cork,201610,10,12.000150643676768
Limerick,150000.0,0,0,0,11.918397239722838,2016,5,Limerick,201605,5,11.598075862329463
Dublin,250000.0,0,0,0,12.429220196836384,2016,9,DUBLIN_OTHER,201609,9,12.705570117352767
Dublin,175000.0,0,0,0,12.07254696717504,2016,10,DUBLIN_OTHER,201610,10,12.705570117352767
Dublin,449339.2,0,1,1,13.015535563568625,2016,6,DUBLIN_OTHER,201606,6,12.705570117352767
Cork,176000.0,0,0,0,12.07824495582233,2016,4,Cork,201604,4,12.000150643676768
Waterford,148000.0,0,0,0,11.904974309480185,2016,11,Waterford,201611,11,11.642599181212411
Kildare,192000.0,0,0,0,12.165255859329688,2016,12,Kildare,201612,12,12.288557581795198
Roscommon,160000.0,0,0,0,11.982935344196433,2016,8,Roscommon,201608,8,11.220952494221892
Limerick,10983.0,0,0,0,9.304194947447806,2016,4,Limerick,201604,4,11.598075862329463
Cavan,50000.0,0,0,0,10.819798284210286,2016,7,Cavan,201607,7,11.260762509440198
