Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
28/02/2017,"10 GLEANN CIAN, ARD NA GLEANN, LYRE",Cork,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"90 MARSH RD, DROGHEDA, LOUTH",Louth,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2017,"4 THE MEWS, FORTFIELD SQ, COLLEGE DR DUBLIN 6W",Dublin,,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2017,"APT 27, HERON GATE, BLACKPOOL RETAIL PARK",Cork,,"€286,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2017,"77 ROCKFIELD MANOR, HOEYS LANE, DUNDALK",Louth,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2017,"10 ST KEVINS PARADE, SOURTH CIRCULAR ROAD, DUBLIN",Dublin,,"€336,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2017,"GORTACOOSH, GLENFLESK, KILLARNEY",Kerry,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/07/2017,"3 4 DE BRUIN, POLEBERRY ST, WATERFORD",Waterford,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2017,"50 PAIRC AN OIR, PAIRC NA GREINE, RATHCORMAC",Cork,,"€190,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
18/04/2017,"MARYMOUNT, GLASHEEN, CORK",Cork,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2017,"84 SPRINGHILL AVE, BLACKROCK, DUBLIN",Dublin,,"€670,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2017,"DREWSBORO, KILBELIN, NEWBRIDGE",Kildare,,"€392,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2017,"9 THE ASH, CLONARD, COUNTY WEXFORD",Wexford,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2017,"APT 1, AN DOIRIN, GREEN ST DINGLE",Kerry,,"€165,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/07/2017,"65 ROCKLANDS, CARRIGTWOHILL, CORK",Cork,,"€271,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/04/2017,"7 CHURCH PARK COURT, HAROLDS CROSS, DUBLIN 6W",Dublin,,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2017,"86 ARDKEEN, CAVAN",Cavan,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/07/2017,"DRUID HILL, BRENNANSTOWN RD, CARRICKMINES DUBLIN 18",Dublin,,"€995,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2017,"201 TUSKAR ROCK, CUSTOM HOUSE HARBOUR, I F S C DUBLIN 1",Dublin,,"€377,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2017,"119 O MOLLOY ST, TULLAMORE, OFFALY",Offaly,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/04/2017,"CRUIT ISLAND, LOWER KINCASSLAGH, DONEGAL",Donegal,,"€221,471.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2017,"RATHLACKEN, CARROWMORE LACKEN, BALLINA",Mayo,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2017,"ST ANTHONYS, PARK RD, BENGAL TERRACE",Limerick,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2017,"TEACH UMADORA, OVENS, CORK",Cork,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/01/2017,"CROEBECH LAINNE LYNN, MULLINGAR, WESTMEATH",Westmeath,,"€337,000.00",No,No,Second-Hand Dwelling house /Apartment,
