Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonthIndex,Region_Encoded
424000.0,0,0,0,2016,4,270962.0605084746
229075.0,0,1,1,2016,9,140133.58445454546
170000.0,1,0,0,2016,10,139043.13263157895
675500.0,0,0,0,2016,5,367124.02974358975
40000.0,0,0,0,2016,11,92577.4161627907
400000.0,0,0,0,2016,7,321252.275
250000.0,1,0,0,2016,12,357260.4677191011
316640.96,0,1,1,2016,5,357260.4677191011
264317.18,0,1,1,2016,4,357260.4677191011
16000.0,0,0,0,2016,3,124480.02530612245
185000.0,0,0,0,2016,1,198460.38056851312
225000.0,0,1,1,2016,5,138927.53039408868
35000.0,0,0,0,2016,6,115289.87640449438
280000.0,0,0,0,2016,12,198460.38056851312
185000.0,0,0,0,2016,1,149517.2112804878
105000.0,0,0,0,2016,5,138927.53039408868
275000.0,0,0,0,2016,6,350585.13441860466
252000.0,0,0,0,2016,2,92577.4161627907
155000.0,0,0,0,2016,9,147549.79817567568
150000.0,0,0,0,2016,2,264083.47983050847
255065.0,0,1,1,2016,11,169894.25173144878
112000.0,0,0,0,2016,5,92577.4161627907
321585.0,0,1,1,2016,3,357260.4677191011
81000.0,0,0,0,2016,6,106261.99716666665
175000.0,0,0,0,2016,5,169894.25173144878
293000.0,0,0,0,2016,1,357260.4677191011
432000.0,0,0,0,2016,12,321252.275
157439.65,0,1,1,2016,9,357260.4677191011
80000.0,0,0,0,2016,9,138927.53039408868
215000.0,0,0,0,2016,11,289405.2858490566
137000.0,0,0,0,2016,6,130047.27415584415
91806.17,0,1,1,2016,9,198460.38056851312
92677.7,0,1,1,2016,11,138927.53039408868
333000.0,0,0,0,2016,9,289405.2858490566
91806.17,0,1,1,2016,9,198460.38056851312
262500.0,0,0,0,2016,7,357260.4677191011
268722.5,0,1,1,2016,11,247009.80948717947
338000.0,0,0,0,2016,5,289405.2858490566
200000.0,0,0,0,2016,2,357260.4677191011
187500.0,0,0,0,2016,9,149517.2112804878
205000.0,0,0,0,2016,2,198460.38056851312
128732.2,0,1,1,2016,11,140133.58445454546
195000.0,0,0,0,2016,1,99353.24882352941
80000.0,0,0,0,2016,11,142117.9899404762
140000.0,0,0,0,2016,4,121959.42273584906
480000.0,0,0,0,2016,8,357260.4677191011
106000.0,0,0,0,2016,12,198460.38056851312
34723.86,0,0,0,2016,2,198460.38056851312
182500.0,0,0,0,2016,10,138927.53039408868
221244.12,0,0,0,2016,7,486409.44936170214
225000.0,0,0,0,2016,5,221569.53396135266
150000.0,0,0,0,2016,9,221569.53396135266
148011.0,0,0,0,2016,2,357260.4677191011
138000.0,0,0,0,2016,12,198460.38056851312
110132.0,0,1,1,2016,7,92577.4161627907
395000.0,0,0,0,2016,9,302309.9607878788
257000.0,0,0,0,2016,7,302309.9607878788
207049.0,0,1,1,2016,8,247009.80948717947
475000.0,1,0,0,2016,12,495566.8431372549
195000.0,1,0,0,2016,8,357260.4677191011
287500.0,0,0,0,2016,7,198460.38056851312
197000.0,0,0,0,2016,10,198460.38056851312
267000.0,0,0,0,2016,2,247009.80948717947
230000.0,0,0,0,2016,8,139912.4143478261
90100.0,0,0,0,2016,7,321252.275
215000.0,0,0,0,2016,3,357260.4677191011
146000.0,0,0,0,2016,6,178090.23692307694
180000.0,0,0,0,2016,11,287404.2686567164
214000.0,0,1,1,2016,6,221569.53396135266
361000.0,0,0,0,2016,1,264083.47983050847
73000.0,0,0,0,2016,1,169894.25173144878
305000.0,0,0,0,2016,3,329827.0714285714
70000.0,0,0,1,2016,6,106261.99716666665
150000.0,0,0,0,2016,7,101768.53846153847
105705.0,0,0,0,2016,9,239171.1843939394
165000.0,0,1,1,2016,10,149517.2112804878
145000.0,0,0,0,2016,9,121959.42273584906
142550.0,0,0,0,2016,12,287404.2686567164
430000.0,0,0,0,2016,4,178090.23692307694
58000.0,0,0,0,2016,6,149517.2112804878
185000.0,0,0,0,2016,4,121959.42273584906
312500.0,1,0,0,2016,8,350585.13441860466
77500.0,0,0,0,2016,10,138927.53039408868
